Sub 0 RXTX 0/0,Sub 1 RXTX 0/0,Sub 2 RXTX 0/0,Sub 3 RXTX 0/0,Sub 4 RXTX 0/0,Sub 5 RXTX 0/0,Sub 6 RXTX 0/0,Sub 7 RXTX 0/0,Sub 8 RXTX 0/0,Sub 9 RXTX 0/0,Sub 10 RXTX 0/0,Sub 11 RXTX 0/0,Sub 12 RXTX 0/0,Sub 13 RXTX 0/0,Sub 14 RXTX 0/0,Sub 15 RXTX 0/0,Sub 16 RXTX 0/0,Sub 17 RXTX 0/0,Sub 18 RXTX 0/0,Sub 19 RXTX 0/0,Sub 20 RXTX 0/0,Sub 21 RXTX 0/0,Sub 22 RXTX 0/0,Sub 23 RXTX 0/0,Sub 24 RXTX 0/0,Sub 25 RXTX 0/0,Sub 26 RXTX 0/0,Sub 27 RXTX 0/0,Sub 28 RXTX 0/0,Sub 29 RXTX 0/0,Sub 30 RXTX 0/0,Sub 31 RXTX 0/0,Sub 32 RXTX 0/0,Sub 33 RXTX 0/0,Sub 34 RXTX 0/0,Sub 35 RXTX 0/0,Sub 36 RXTX 0/0,Sub 37 RXTX 0/0,Sub 38 RXTX 0/0,Sub 39 RXTX 0/0,Sub 40 RXTX 0/0,Sub 41 RXTX 0/0,Sub 42 RXTX 0/0,Sub 43 RXTX 0/0,Sub 44 RXTX 0/0,Sub 45 RXTX 0/0,Sub 46 RXTX 0/0,Sub 47 RXTX 0/0,Sub 48 RXTX 0/0,Sub 49 RXTX 0/0,Sub 50 RXTX 0/0,Sub 51 RXTX 0/0,Sub 52 RXTX 0/0,Sub 53 RXTX 0/0,Sub 54 RXTX 0/0,Sub 55 RXTX 0/0,Sub 56 RXTX 0/0,Sub 57 RXTX 0/0,Sub 58 RXTX 0/0,Sub 59 RXTX 0/0,Sub 60 RXTX 0/0,Sub 61 RXTX 0/0,Sub 62 RXTX 0/0,Sub 63 RXTX 0/0
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,31.00715087,30.93771781,31.33858125,31.33858125,31.07888025,30.68185862,30.83860801,30.64457989,30.48053173,30.43362278,30.80987047,30.44931546,30.07320953,29.86771734,29.24795996,30.07320953,29.26856709,29.24795996,28.59738566,28.59738566,28.12913357,27.90285164,27.63427994,27.90285164,27.67897616,27.16003344,#NAME?,26.2838893,26.36487896,25.7634135,25.7634135,25.39076099,25.11883361,24.60897843,23.67355921,23.89166084,23.11753861,23.11753861,22.55272505,22.04119983,21.36720567,21.13943352,20.17033339,20.17033339,19.29418926,19.13813852,19.13813852,18.06179974,18.12913357,18.32508913,18.32508913,17.2427587,16.53212514,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,28.99273187,29.03089987,29.07948522,29.37517892,28.77371346,28.90979597,28.52479994,28.28659897,28.28659897,28.28659897,28.60338007,28.28659897,28.06179974,27.61927838,27.38780558,27.61927838,27.26727209,26.52246341,26.52246341,25.98790507,25.98790507,25.86587305,24.96929648,25.42825427,25.31478917,24.84299839,#NAME?,24.23245874,24.23245874,23.59835482,23.59835482,23.01029996,22.30448921,22.30448921,21.61368002,21.58362492,20.8278537,20.8278537,20.04321374,20.17033339,19.29418926,19.29418926,19.54242509,18.6332286,17.63427994,18.12913357,17.16003344,17.85329835,16.98970004,16.98970004,17.16003344,17.16003344,17.16003344,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,30.80987047,30.68185862,31.33538908,31.00715087,31.83269844,30.53078443,30.56142262,30.58805487,30.30599722,30.86359831,30.62957834,30.40206628,29.91226076,30.15778756,29.13813852,29.56648579,29.08485019,29.46452265,28.43232778,28.29946696,27.73054693,27.61927838,27.66412847,26.63700925,26.45422269,26.12783857,#NAME?,25.86587305,27.06717782,25.86587305,25.58708571,23.69215857,24.62397998,21.70261715,24.62397998,25.05149978,26.02059991,25.57507202,22.27886705,21.70261715,20.64457989,22.30448921,21.95899652,18.12913357,17.16003344,21.33538908,19.29418926,21.13943352,18.6923172,20,19.49390007,19.03089987,19.54242509,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
42.02488317,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,30.43362278,30.4060234,30.4060234,30.89551883,30.11993115,30.37426498,30.10299957,29.84527313,29.83175072,29.58563883,29.84527313,29.84527313,29.5616843,28.96526217,28.96526217,28.99273187,28.68056362,27.98650645,27.98650645,27.63427994,27.26727209,27.2427587,26.88419822,27.2427587,26.84845362,26.84845362,#NAME?,26.02059991,25.57507202,25.57507202,24.60897843,24.09933123,24.14973348,23.54108439,23.11753861,22.94466226,23.69215857,20.96910013,14.62397998,24.37750563,20.37426498,17.63427994,24.23245874,25.27629901,20.96910013,23.52182518,16.98970004,23.52182518,12.55272505,22.57678575,22.30448921,22.38046103,18.32508913,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
38.90365121,6.020599913,#NAME?,#NAME?,#NAME?,#NAME?,32.00303183,31.80985581,32.10853365,32.10853365,31.72894698,31.46748014,31.46748014,31.07888025,31.07888025,31.07888025,31.4113609,31.03119254,30.52693942,30.52693942,30.10723865,30.52693942,29.93876915,29.71739591,29.49390007,29.12753304,28.88179494,28.6923172,28.16903839,28.43232778,28.23474229,27.7524626,#NAME?,27.03291378,27.03291378,26.83047038,26.27365857,25.89949601,25.68201724,25.27629901,24.84299839,24.16640507,24.16640507,23.44392274,22.8780173,22.67171728,21.84691431,21.70261715,21.61368002,20.86359831,20.8278537,20,19.29418926,19.13813852,18.32508913,18.6332286,18.6332286,17.16003344,17.85329835,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
38.90365121,6.020599913,#NAME?,#NAME?,#NAME?,#NAME?,30.4453976,30,30.87781418,30.22428371,31.13943352,30.25305865,30.27757205,29.66141733,30.07320953,30.25305865,30.25305865,30.05609445,29.66141733,29.66141733,28.81384657,29.86771734,28.83661435,29.26856709,27.61927838,28.35690571,27.10963119,27.10963119,26.82145076,27.63427994,27.16003344,26.55138435,#NAME?,26.02059991,26.2838893,25.93286067,26.07455023,25.31478917,25.27629901,25.27629901,19.54242509,25.95496222,22.67171728,22.8780173,23.18063335,21.95899652,21.70261715,20.37426498,19.49390007,20.04321374,18.06179974,19.29418926,19.08485019,16.98970004,17.2427587,16.9019608,16.98970004,16.02059991,17.63427994,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
40.47352761,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,30.85290578,30.62957834,30.53078443,31.30976692,30.34227261,29.46452265,30.43362278,30.18700499,30.04321374,29.83175072,30.17867719,29.73589623,28.90979597,28.38219222,29.37016107,28.48804701,28.52479994,28.52479994,28.52479994,28.20201459,27.61927838,26.52246341,27.52048448,28.06179974,26.2838893,27.73054693,#NAME?,25.71708832,26.63700925,25.289167,25.42825427,25.27629901,24.14973348,23.38456494,23.97940009,24.2975228,21.0720997,22.55272505,21.33538908,19.91226076,21.73186268,21.13943352,18.12913357,18.6923172,19.49390007,19.86771734,19.54242509,18.32508913,16.98970004,18.32508913,18.12913357,18.12913357,16.9019608,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
40.47352761,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,30.17033339,30.58805487,30.22428371,30.58805487,30,30.31812271,29.93876915,29.68015714,29.49390007,29.30949031,29.93876915,29.54242509,29.12753304,28.88179494,28.83661435,29.07411361,28.83661435,27.67897616,27.90285164,27.39572344,27.39572344,26.85741739,26.36487896,26.70245853,26.70245853,26.12783857,#NAME?,25.51449998,25.51449998,25.27629901,24.37750563,24.14973348,23.89166084,23.89166084,22.55272505,22.27886705,21.36720567,22.04119983,21.13943352,20.96910013,20.04321374,19.13813852,19.08485019,18.12913357,19.29418926,17.2427587,17.2427587,17.2427587,16.53212514,15.31478917,17.16003344,16.12783857,16.12783857,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
40.47352761,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,31.44262774,31.39249218,31.39249218,31.62265614,31.36720567,31.36403448,31.12605002,30.88136089,30.8849047,30.3702788,30.8849047,30.62957834,30.10723865,30.10723865,29.5616843,30.11993115,29.84527313,28.96526217,28.96526217,28.96526217,28.6332286,27.96574333,27.23455672,27.96574333,27.96574333,27.26727209,#NAME?,26.48360011,26.45422269,26.06381365,25.62292864,25.22444234,24.74216264,24.23245874,23.82017043,23.69215857,22.67171728,22.04119983,22.04119983,21.64352856,20.96910013,20.25305865,20.25305865,20,18.57332496,18.57332496,17.85329835,18.12913357,18.12913357,16.53212514,17.2427587,16.02059991,16.98970004,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
40.47352761,12.04119983,#NAME?,#NAME?,#NAME?,#NAME?,28.96526217,28.68056362,29.29418926,29.24795996,29.29418926,28.77371346,29.42999593,28.83661435,28.20201459,27.95880017,29.29418926,28.0685803,27.52048448,28.28659897,27.26727209,27.43509765,26.66517981,27.26727209,27.52048448,26.2838893,26.39486489,26.78518379,25.31478917,25.22444234,25.11883361,26.11723308,#NAME?,23.97940009,24.4870632,24.34568904,24.14973348,21.84691431,22.50420002,22.30448921,20.04321374,22.50420002,20.04321374,20.8278537,20.86359831,19.13813852,20.86359831,20.17033339,16.98970004,19.29418926,18.12913357,16.53212514,17.16003344,15.31478917,17.16003344,17.16003344,12.30448921,16.12783857,16.02059991,#NAME?,#NAME?,#NAME?,#NAME?,#NAME?
