,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,-64.28393210184404,-64.28393210184404,-65.5890996648446,-66.09802856134431,-66.30853659938785,-66.56928894284611,-69.57686949419688,-67.55600198536098,-67.47247092899438,-67.56334144008795,-67.51747780802953,-67.55897088766756,-67.3588413976581,-67.33889112640472,-67.46997431348834,-67.49630328904298,-67.54206078270461,-67.59134534639205,-67.70785092888097,-67.65224886595033,-67.70153342963779,-67.7219266107652,-67.91574666325847,-68.01935547166732,-68.23672693017583,-68.38160396730993,-68.46661471343764,-68.49551413503497,-68.53542232607396,-68.68754118093435,-68.83966003579474,-68.90942763115338,-68.85673354072024,-68.89038333533286,-68.68250928715825,-68.55515878614305,-68.56838019378787,-68.59804979526933,-68.5581883175167,-68.52146553992368,-68.50149448924402,-68.41237467786658,-68.46610879677259,-68.33936425801434,-68.17966337698154,-68.1411292283401,-68.08464783003349,-68.02718585334352,-67.98483129483056,-67.8699860028385,-67.68583710437963,-67.60698352820097,-67.48416850819588,-67.39196925260146,-67.37237371532254,-67.29668026241687,-67.18383594636327,-67.1208389028661,-67.0116638145749,-66.91463590022404,-66.90047372758134,-66.83912667065817,-66.77304771058988,-66.97128459079478
11,-65.33810177536837,-65.33810177536837,-66.18676126841916,-66.56939967642171,-66.76114874780876,-67.0017470569099,-69.94297674242169,-67.84834701533775,-67.90164171193067,-67.94161273437535,-67.94213862013578,-67.98709911307017,-67.99332565824002,-68.01622873881901,-68.10258859043128,-68.12128908513769,-68.20685709498937,-68.26981492465455,-68.28684829045372,-68.34963911600417,-68.4399363600815,-68.48569381983279,-68.66100187670659,-68.83630993358041,-68.91618657270992,-69.02856923423613,-69.09519443601108,-69.2075770975373,-69.29822526954369,-69.43348484526743,-69.5075128472396,-69.6811604981964,-69.69438182009463,-69.70760314199283,-69.77737072324466,-69.8414491747987,-69.90552762635276,-69.90303387243166,-69.94572482702817,-69.84983786876776,-69.88497521703889,-69.8304548812238,-69.77397353722623,-69.70291019461234,-69.64642885061475,-69.57328556707672,-69.43195645959732,-69.35054233704554,-69.1854465105993,-69.09680903222734,-68.92398313699115,-68.75942976846412,-68.66125051611539,-68.57765326238294,-68.42253948635012,-68.31828349668366,-68.27319578952734,-68.21522588032632,-68.13793266805831,-68.12123720923343,-68.11687533776895,-68.08203046296434,-67.98713959015753,-67.70246697173705
12,-64.98399416759828,-64.98399416759828,-66.10382171674229,-66.42988055124096,-66.71403051716199,-66.90346382777601,-70.00029059267082,-67.9794230032404,-68.09003073630613,-68.10338501982208,-68.09607950148175,-68.17642126467663,-68.17456126784296,-68.32370527571231,-68.37112992229706,-68.47601659755551,-68.51937887557662,-68.63498941622683,-68.64957141609983,-68.73055849439126,-68.89045246807177,-68.97175744630424,-69.17071162063871,-69.24441941645208,-69.44337359078654,-69.57043602102469,-69.70120430129371,-69.81754286614012,-69.9195479475523,-70.04881301960383,-70.10809594674248,-70.13735028026174,-70.19992619184694,-70.25920911898561,-70.29647701649326,-70.34977793113717,-70.3563432884975,-70.48993600137604,-70.47829308186657,-70.52944560431396,-70.51823734739756,-70.58881842168327,-70.56922290828132,-70.58072807068666,-70.45027691994339,-70.37215367953377,-70.2693348149231,-70.06662104576868,-69.963802181158,-69.79198969262623,-69.72071762197889,-69.59657795547993,-69.42908686818616,-69.29692173969643,-69.21970119929767,-69.1476016366073,-69.12288707116139,-69.09111120130235,-69.04874337482362,-69.06578769479478,-68.99590507844981,-68.84779010616771,-68.7683172655775,-68.57311275618714
13,-65.7125560313657,-65.7125560313657,-66.33732378700738,-66.51888791771029,-66.62782639613204,-66.76165675628005,-69.52776160009078,-67.22364940087404,-67.21778130510928,-67.26890411022114,-67.3603335450209,-67.35108521960152,-67.38265919668045,-67.4219441949008,-67.46122919312116,-67.50840824432716,-67.54608367273921,-67.64837113085946,-67.74377578381095,-67.86649304644678,-67.87097807010845,-68.029586678262,-68.12472040859025,-68.26447101662424,-68.40422162465822,-68.49935535498648,-68.6390173271454,-68.73415105747364,-68.80054347941119,-68.9131705654647,-69.04262114733608,-69.15524823338957,-69.29079754507664,-69.34054622557836,-69.4103575874146,-69.48016894925082,-69.52367130266872,-69.59348266450493,-69.59694026089198,-69.52490653728799,-69.50008300400941,-69.41866890573422,-69.27086729098252,-69.25542413237515,-69.22765160405717,-69.13901414417123,-69.00295201426874,-68.91935477902233,-68.82286870184666,-68.72030614375261,-68.62712396032978,-68.53544193197983,-68.43853194174712,-68.28648406343689,-68.13004749247877,-68.07829009941761,-68.07287419561185,-67.99096104121006,-67.87892157197525,-67.83038242039757,-67.757573693031,-67.6312252971771,-67.6334558819147,-67.64014763612747
14,-61.657706817185876,-61.657706817185876,-59.28958680293139,-58.144612621858776,-57.3814708029999,-56.852487638600415,-58.4118881869553,-54.532956595793486,-54.56391588769338,-54.64818110349111,-54.71372071577824,-54.76615240560793,-54.81004768794819,-54.83830863986659,-54.92922204851768,-55.07721532854475,-55.219026761002645,-55.26478428342333,-55.36358113617714,-55.488332642961815,-55.58905167622201,-55.715303337160336,-55.8916601274495,-56.06801691773866,-56.270454677115744,-56.34578981140798,-56.41284796654462,-56.58050607307441,-56.67415784045703,-56.752581257062445,-56.79880929468441,-56.80638211413528,-56.84316555587036,-56.9166663042599,-56.897166667425054,-56.99144509289411,-57.06123192664332,-57.1193456577328,-57.17397204110101,-57.114770505751245,-57.19410772200471,-57.24592862265651,-57.24592863552668,-57.177393904419134,-57.10763062596099,-56.984497746386566,-56.87166482532054,-56.72918584089685,-56.5684281910827,-56.51429668262277,-56.35215476637215,-56.23524467186727,-56.0611647113023,-55.954227235408474,-55.84991056617183,-55.82678585204942,-55.78500501126089,-55.74600101383051,-55.69399568392333,-55.621188222053284,-55.56817695624074,-55.451630054992535,-55.50438558279659,-55.34611899938444
15,-61.426404784367676,-61.426404784367676,-59.201067129535666,-58.04938556533567,-57.4374910901105,-56.904779423303374,-58.50806145176987,-54.64375305455033,-54.71849796377678,-54.73588947724165,-54.82783967337783,-54.861752447953585,-54.838048403543084,-54.89009598645862,-54.88068447411714,-55.009724830540506,-55.139470039891044,-55.19501108762474,-55.23465846995792,-55.41102130121366,-55.483107715373066,-55.63180834904981,-55.8835844767582,-56.03667998454512,-56.28759319814701,-56.38688727738838,-56.44914146917732,-56.6152754293635,-56.73214589457419,-56.81382887110529,-56.92550252937336,-56.94410013909445,-56.95212612377342,-56.98999253430164,-57.01218265780353,-57.11986046253394,-57.23986883847398,-57.336809674491896,-57.420272912439614,-57.39134037720551,-57.46242486094305,-57.5054417334725,-57.48499013902377,-57.458348516294414,-57.30498201415909,-57.20886959652523,-57.08214630134646,-56.944133258620106,-56.74868621606983,-56.63287159825628,-56.4067901148368,-56.247016812408866,-56.102754005051466,-55.95626883391077,-55.89479145440298,-55.8239303368755,-55.75974564428647,-55.66954257949977,-55.578304404672046,-55.512178557135165,-55.45537361850523,-55.38923550987108,-55.35575201635668,-55.456202496899884
16,-59.85564083089527,-59.85564083089527,-58.51514929986152,-57.968827251959496,-57.24269574194021,-56.982372619043666,-58.82409808498156,-55.363334117572094,-55.294667647641845,-55.35603934095515,-55.39632433974051,-55.43525602518129,-55.390769092881484,-55.25877735304594,-55.45035567592045,-55.51199664263466,-55.78544311384421,-55.852238209894665,-56.073303736913566,-56.107422944100605,-56.16854862192362,-56.2153797955696,-56.350719518985066,-56.55905755782021,-56.70304086332162,-56.78265660597625,-56.82032365634882,-56.965179282988586,-56.95094097018183,-57.17774091564294,-57.27430439095729,-57.485127561563935,-57.450322561911285,-57.513724077705014,-57.475355582896746,-57.487089837100434,-57.487089837100434,-57.563676140902594,-57.60933289254574,-57.538584843161935,-57.661302122097894,-57.68000260683141,-57.90334631230038,-57.80170281771812,-57.836234493210384,-57.71162996429608,-57.583786265291664,-57.442650158379436,-57.29606106311206,-57.191832845987676,-57.04952002329634,-56.78659452574554,-56.46993746962429,-56.44367772505554,-56.31057952428773,-56.350323127326426,-56.356967725542546,-56.27553376788578,-56.22906394508999,-56.1912227120906,-55.98828415298107,-56.08134175800975,-56.3738548142376,-56.362804279592396
17,-65.15979344495595,-65.15979344495595,-65.86233685828147,-66.09879725051752,-66.19386953471164,-66.25725105750773,-68.97510474706267,-66.90079418149222,-66.90497984384703,-66.90811909061316,-66.9846599019407,-66.99334071150824,-67.0262969822711,-67.05262593931015,-67.16770989743323,-67.26999266954053,-67.31741731322813,-67.35115028725554,-67.43064073072983,-67.51951154727233,-67.60049863261678,-67.73403755745574,-67.8780085100271,-68.01154743486606,-68.13034330447242,-68.26194036009458,-68.38073622970096,-68.48395573440456,-68.56828434348073,-68.76288891442451,-68.81912221473307,-68.87535551504162,-68.93463853766609,-69.04231635080994,-69.09376086364526,-69.0751478328101,-69.03361257511324,-69.12679831798442,-69.12794751529862,-69.0573664410129,-69.05251398403843,-69.07248508403305,-69.00190400974734,-68.97557504819018,-68.89413772007077,-68.93086054781702,-68.98821337973881,-68.89803674660547,-68.80786011347216,-68.74506927154769,-68.68227842962322,-68.56054484082466,-68.47142502824104,-68.31448412432421,-68.21265158696963,-68.11264976899639,-67.98764749652983,-67.95209371606363,-67.90468867544203,-67.8383216185718,-67.73877103326645,-67.68658402410756,-67.54325890956044,-67.54325890956044
18,-64.82224891521898,-64.82224891521898,-65.58157015628662,-65.96123077682044,-66.2208730898988,-66.41530327391231,-69.2121981169881,-67.28600566074905,-67.30049830835347,-67.32309326449409,-67.34703050097772,-67.42803262358852,-67.47186419903102,-67.5775481078974,-67.60738263411372,-67.68434238742431,-67.8256715373195,-67.89325091428022,-68.0345800641754,-68.09994928637204,-68.22617101638052,-68.22617101638052,-68.35239274638901,-68.48628631487404,-68.68010629563008,-68.74447569221469,-68.81399986411512,-68.87580704380711,-68.88414719390438,-69.03203409750375,-69.10594372182682,-69.3347173485679,-69.39874506980169,-69.46702563966988,-69.4377712633117,-69.50179898454549,-69.47254460818732,-69.60199523096018,-69.54563696038292,-69.57028442781737,-69.5275324491522,-69.47717171099501,-69.48308059592921,-69.35210386829768,-69.34089567313174,-69.25588488291372,-69.185303808628,-69.0439746239174,-69.01764571082023,-68.86880893921885,-68.7873716137171,-68.63853484211573,-68.51733036579495,-68.45965976636855,-68.28820350596713,-68.261683086424,-68.22853256199507,-68.18591045915788,-68.08770830331488,-68.06044210994386,-68.01954281988732,-67.95137733645976,-67.81504636960463,-67.4060534690393
19,-65.04343226177194,-65.04343226177194,-65.71840062923481,-65.96551821417103,-66.18608204416894,-66.2678710769968,-68.9638719105145,-66.92115142680275,-66.91470100423031,-67.00376798646889,-67.07304230598777,-67.12846176160289,-67.13673429996747,-67.25767032251807,-67.34245970555057,-67.4664012008855,-67.55769698921507,-67.64899277754465,-67.72598456778675,-67.83806796112677,-67.95015135446677,-68.00575341148216,-68.16545421625541,-68.24863817636074,-68.3318221364661,-68.41500609657143,-68.5575629527425,-68.61046212016933,-68.71763387005296,-68.80884083894733,-68.94410041616024,-69.09806442541529,-69.2333240026282,-69.32453097152255,-69.36945173094222,-69.41437249036188,-69.39332336526407,-69.53131148091431,-69.54689192378348,-69.51056314233922,-69.4292582063253,-69.39292942488105,-69.3169532959501,-69.23246097127962,-69.18962623513637,-69.14679149899312,-69.00945280250735,-68.865469460467,-68.75966576926012,-68.66382944806578,-68.52649075158004,-68.38382324801131,-68.24115574444258,-68.10089430963421,-67.96063287482588,-67.87581316437503,-67.88791847673961,-67.83658076067351,-67.70449772119623,-67.59594076759501,-67.55018329312917,-67.47392083568609,-67.32139592079992,-67.32139592079992
